"PO number prefix","PO number","PO number suffix","Vendor","Organization type","Order type","Acquisitions units","Approval date","Assigned to","Bill to","Ship to","Manual","Re-encumber","Created by","Created on","Note","Workflow status","Approved","Renewal interval","Subscription","Manual renewal","Ongoing notes","Review period","Renewal date","Review date","PO tags","POLine number","Title","Instance UUID","Subscription from","Subscription to","Subscription interval","Receiving note","Publisher","Edition","Linked package","Contributor, Contributor type","Product ID, Qualifier, Product ID type","Internal note","Acquisition method","Order format","Created on (PO Line)","Receipt date","Receipt status","Payment status","Source","Donor","Selector","Requester","Cancellation restriction","Cancellation description","Rush","Collection","Line description","Vendor reference number, reference type","Instructions to vendor","Account number","Physical unit price","Quantity physical","Electronic unit price","Quantity electronic","Discount","Estimated price","Currency","Fund code, Expense class, Value, Amount","Location, Quantity P, Quantity E","Material supplier","Receipt due","Expected receipt date","Volumes","Create inventory","Material type","Access provider","Activation status","Activation due","Create inventory E","Material type E","Trial","Expected activation","User limit","URL","POLine tags","Renewal note"
"pref","pref1702477784401suf","suf","autotest_code_437.9023336596599384","","One-Time","","12/13/2023, 2:30 PM",,,,true,true,"folio-aqa","12/13/2023, 2:29 PM","","Open",true,,,,,,,,,"pref1702477784401suf-1","autotest_title_900.9389581392741384","ca5cc1af-55ed-44c6-a6da-210f0737cef6",,,0,,,,,"","",,"Other","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","1234",1,2,,,"""""""percentage""",2,"USD","","""KU/CC/DI/M""""2""""0""","autotest_code_437.9023336596599384",,,"","Instance, Holding, Item","book","autotest_code_437.9023336596599384",false,,"None",,false,,,,,
,"11438",,"autotest_code_220.1378340353202838","","One-Time","","12/13/2023, 2:27 PM",,,,false,true,"folio-aqa","12/13/2023, 2:26 PM","","Open",true,,,,,,,,,"11438-1","1-bit symphony [realia] / Tristan Perich.","53ac2632-a17f-420e-bb56-62346b00cabe",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Fully Paid","User",,,,,,false,false,,"","","",70,1,,,"""""""percentage""",70,"USD","""902.7595934387161""""""""70""""70""","""autotest_location_code_431.8253552671639788""""1""""0""","autotest_code_220.1378340353202838",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11435",,"autotest_code_964.8187995184554937","","One-Time","","12/13/2023, 2:26 PM",,,,false,true,"folio-aqa","12/13/2023, 2:25 PM","","Open",true,,,,,,,,,"11435-1","1-bit symphony [realia] / Tristan Perich.","217b8494-bbbe-4175-af25-c1696acfd829",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",70,1,,,"""""""percentage""",70,"USD","""975.445853721831777""""""""70""""70""","""autotest_location_code_945.2249087718731701""""1""""0""","autotest_code_964.8187995184554937",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11436",,"autotest_code_460.11895811326065165","","One-Time","","12/13/2023, 2:26 PM",,,,false,true,"folio-aqa","12/13/2023, 2:25 PM","","Open",true,,,,,,,,,"11436-1","1-bit symphony [realia] / Tristan Perich.","4e2a0523-fb00-42fb-95ad-7ff90e587ea3",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",200,1,,,"""""""percentage""",200,"USD","""112.41767218632901164""""""""200""""200""","""autotest_location_code_380.14214390459415237""""1""""0""","autotest_code_460.11895811326065165",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11432",,"autotest_code_945.1467929963324238","","One-Time","","12/13/2023, 2:25 PM",,,,false,true,"folio-aqa","12/13/2023, 2:25 PM","","Open",true,,,,,,,,,"11432-1","1-bit symphony [realia] / Tristan Perich.","fe3369b3-a30b-4b0f-a5b4-4e86ce041012",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",70,1,,,"""""""percentage""",70,"USD","""253.6215200127179359""""""""70""""70""","""autotest_location_code_111.14097049919084117""""1""""0""","autotest_code_945.1467929963324238",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11433",,"autotest_code_911.6001302563685694","","One-Time","","12/13/2023, 2:25 PM",,,,false,true,"folio-aqa","12/13/2023, 2:25 PM","","Open",true,,,,,,,,,"11433-1","1-bit symphony [realia] / Tristan Perich.","4e2a0523-fb00-42fb-95ad-7ff90e587ea3",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Awaiting Payment","User",,,,,,false,false,,"","","",70,1,,,"""""""percentage""",70,"USD","""840.6878211369657811""""""""70""""70""","""autotest_location_code_424.32942584560584403""""1""""0""","autotest_code_911.6001302563685694",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11424",,"autotest_code_746.2709226218872393","","One-Time","","12/13/2023, 2:24 PM",,,,false,true,"folio-aqa","12/13/2023, 2:23 PM","","Open",true,,,,,,,,,"11424-1","1-bit symphony [realia] / Tristan Perich.","65f677d1-1941-47f7-852f-2de282d4f947",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Payment Not Required","User",,,,,,false,false,,"","","127.51932807669525544",100,1,,,"""""""percentage""",100,"USD","","""autotest_location_code_186.75609925390032640""""1""""0""","autotest_code_746.2709226218872393",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11419",,"autotest_code_245.59309826722114422","","Ongoing","","12/13/2023, 2:23 PM",,,,false,true,"folio-aqa","12/13/2023, 2:22 PM","","Open",false,,false,false,,,,,,"11419-1","1-bit symphony [realia] / Tristan Perich.","65e5893f-ae53-4774-83c9-f2ac01c5d2ea",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",20,1,,,"""""""percentage""",20,"USD","""819.2817000072816421""""Electronic""""50%""""10"" | ""819.2817000072816421""""Print""""50%""""10""","""autotest_location_code_354.9893443793279267""""1""""0""","autotest_code_245.59309826722114422",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11420",,"autotest_code_201.92938262509432437","","One-Time","","12/13/2023, 2:23 PM",,,,false,true,"folio-aqa","12/13/2023, 2:22 PM","","Open",true,,,,,,,,,"11420-1","1-bit symphony [realia] / Tristan Perich.","b7044810-d234-4767-aa7c-fbd2b228fdcc",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Awaiting Receipt","Payment Not Required","User",,,,,,false,false,,"","","271.28847482201775558",100,1,,,"""""""percentage""",100,"USD","""186.6114304241272434""""""""100""""100""","""autotest_location_code_510.89779801306884353""""1""""0""","autotest_code_201.92938262509432437",,,"","Instance, Holding, Item","book",,,,,,,,,,,
,"11421",,"autotest_code_222.88766331248405290","","Ongoing","","12/13/2023, 2:23 PM",,,,false,true,"folio-aqa","12/13/2023, 2:22 PM","","Open",false,,false,false,,,,,,"11421-1","1-bit symphony [realia] / Tristan Perich.","b7044810-d234-4767-aa7c-fbd2b228fdcc",,,,,"Cantaloupe Music","",,"""Perich, Tristan""""Personal name""","""713746305420""""""""UPC""",,"Depository","Physical Resource","12/13/2023",,"Ongoing","Ongoing","User",,,,,,false,false,,"","","",100,1,,,"""""""percentage""",100,"USD","""828.9333157163804287""""""""100""""100""","""autotest_location_code_690.80473495530164""""1""""0""","autotest_code_222.88766331248405290",,,"","Instance, Holding, Item","book",,,,,,,,,,,
